1,00:00:00.012,00:00:03.586,[]
2,00:00:07.325,00:00:10.038,"[u'thi', u'lectur', u'invert', 'index']"
3,00:00:10.038,00:00:11.160,[u'construct']
4,00:00:13.840,00:00:18.520,"['In', u'lectur', u'continu', u'discuss', 'system', u'implement']"
5,00:00:18.520,00:00:22.019,"['In', 'particular', u'go', u'discuss', 'construct', u'invert', 'index']"
6,00:00:25.096,00:00:29.259,"['the', u'construct', u'invert', 'index', u'actual', u'easi', 'dataset']"
7,00:00:29.259,00:00:30.450,['small']
8,00:00:30.450,00:00:35.430,"['It', u'easi', 'construct', u'dictionari', 'store', u'post', 'file']"
9,00:00:36.600,00:00:42.280,"['the', 'problem', 'data', u'abl', 'fit', u'memori']"
10,00:00:42.280,00:00:45.180,"['use', 'special', 'method', 'deal']"
11,00:00:46.500,00:00:51.900,"['and', u'unfortun', u'retriev', u'applic', 'dataset', u'larg']"
12,00:00:51.900,00:00:55.700,"['and', u'gener', 'cannot', u'load', u'memori']"
13,00:00:56.790,00:01:01.843,"['and', u'mani', u'approach', u'solv', 'problem', u'sort', u'base']"
14,00:01:01.843,00:01:06.710,"['method', u'quit', 'common', u'work', 'four', u'step', 'shown']"
15,00:01:06.710,00:01:11.480,"['first', 'collect', 'local', 'termid', 'documentid', u'frequenc', u'tupl']"
16,00:01:11.480,00:01:16.946,"[u'basic', u'locat', u'term', 'small', 'set', u'document']"
17,00:01:16.946,00:01:24.117,"['and', 'collect', u'account', 'sort', 'count', u'base', u'term']"
18,00:01:24.117,00:01:29.104,"['So', u'abl', 'local', 'partial', u'invert', 'index']"
19,00:01:29.104,00:01:31.310,"[u'call', u'round']"
20,00:01:31.310,00:01:36.930,"['and', 'write', u'temporari', 'file', 'disk']"
21,00:01:36.930,00:01:38.940,"[u'merg', 'step', '3']"
22,00:01:38.940,00:01:44.104,"['Do', u'pairwis', u'merg', u'run', u'eventu', u'merg', u'run']"
23,00:01:44.104,00:01:46.460,"[u'gener', u'singl', u'invert', 'index']"
24,00:01:47.700,00:01:50.823,"['So', u'illustr', 'method']"
25,00:01:50.823,00:01:54.265,"['On', 'left', 'see', u'document']"
26,00:01:54.265,00:01:59.942,"['right', 'term', 'lexicon', 'document', 'ID', 'lexicon']"
27,00:01:59.942,00:02:08.070,"['these', u'lexicon', 'map', 'string', u'base', u'represent', 'document', u'id']"
28,00:02:08.070,00:02:12.261,"[u'term', u'integ', u'represent']"
29,00:02:12.261,00:02:18.112,"['map', 'back', u'integ', 'stream', u'represent']"
30,00:02:18.112,00:02:23.010,"['the', 'reason', 'want', 'interest', u'use', u'integ', 'present']"
31,00:02:23.010,00:02:26.930,"[u'id', u'integ', 'often', 'easier', u'handl']"
32,00:02:26.930,00:02:29.770,"['for', u'exampl', u'integ', u'use', 'index']"
33,00:02:29.770,00:02:33.240,"['array', 'also', u'easi', u'compress']"
34,00:02:34.390,00:02:40.530,"['So', 'one', 'reason', 'tend', 'map', u'string', u'integ']"
35,00:02:42.180,00:02:46.710,"[u'carri', u'string', 'around']"
36,00:02:46.710,00:02:48.070,"['So', 'approach', 'work']"
37,00:02:48.070,00:02:49.822,"['well', u'simpl']"
38,00:02:49.822,00:02:53.260,"['We', u'go', 'scan', u'document', u'sequenti']"
39,00:02:53.260,00:02:58.260,"[u'pars', u'document', 'count', u'frequenc', u'term']"
40,00:02:58.260,00:03:03.306,"['and', 'stage', u'gener', 'sort', u'frequenc', 'document', u'id']"
41,00:03:03.306,00:03:06.961,"[u'process', 'document', u'sequenti']"
42,00:03:06.961,00:03:11.310,"['So', 'first', u'encount', u'term', 'first', 'document']"
43,00:03:11.310,00:03:18.786,"[u'therefor', 'document', u'id', u'one', 'case']"
44,00:03:18.786,00:03:25.503,"['and', u'follow', 'document', u'id', 'two', u'natur', u'result']"
45,00:03:25.503,00:03:31.280,"[u'process', 'data', u'sequenti', 'order']"
46,00:03:31.280,00:03:34.890,"['At', 'point', 'run', u'memori']"
47,00:03:34.890,00:03:39.080,"['would', 'write', 'disc']"
48,00:03:39.080,00:03:45.830,"[u'befor', u'go', 'sort', 'use', u'whatev', u'memori']"
49,00:03:45.830,00:03:51.948,"['We', 'sort', 'time', u'go', 'sort', u'base', 'term', u'id']"
50,00:03:51.948,00:03:59.459,"['note', u'use', 'term', u'id', 'key', 'sort']"
51,00:03:59.459,00:04:03.827,"['So', u'entri', 'share', 'term', 'would', u'group', u'togeth']"
52,00:04:03.827,00:04:08.557,"['In', 'case', 'see', u'id', u'document']"
53,00:04:08.557,00:04:14.090,"['match', 'term', '1', 'would', u'group', u'togeth']"
54,00:04:14.090,00:04:18.850,"['and', u'go', 'write', u'temporari', 'file']"
55,00:04:18.850,00:04:22.800,"['and', 'would', u'allow', 'use', u'memori', u'process']"
56,00:04:22.800,00:04:24.030,"[u'make', 'batch', u'document']"
57,00:04:24.030,00:04:26.670,"['and', u'go', u'document']"
58,00:04:26.670,00:04:32.546,"['So', u'go', 'write', 'lot', u'temporari', u'file', 'disc']"
59,00:04:32.546,00:04:35.400,"['and', 'next', 'stage', u'merg', 'sort', u'basic']"
60,00:04:35.400,00:04:38.360,"['We', u'go', u'merg', 'sort']"
61,00:04:38.360,00:04:41.729,"[u'eventu', 'get', u'singl', u'invert', 'index']"
62,00:04:41.729,00:04:45.310,"[u'entri', u'sort', u'base', 'term', u'id']"
63,00:04:46.960,00:04:50.870,"['and', 'top', u'go', 'see', 'older', u'entri']"
64,00:04:50.870,00:04:53.620,"[u'document', 'match', 'term', 'ID', '1']"
65,00:04:53.620,00:05:00.300,"['So', u'basic', u'construct', u'invert', 'index']"
66,00:05:00.300,00:05:06.445,"['even', 'though', 'data', 'cannot', u'load', 'manner']"
67,00:05:06.445,00:05:12.562,"['now', 'mention', 'earlier', u'host', u'larg']"
68,00:05:12.562,00:05:15.848,"[u'desir', u'compress']"
69,00:05:15.848,00:05:20.481,"['So', 'let', 'take', u'littl', 'bit', u'compress', u'invert', 'index']"
70,00:05:20.481,00:05:24.084,"['well', 'idea', u'compress', u'gener']"
71,00:05:24.084,00:05:28.310,"[u'leverag', u'skew', u'distribut', u'valu']"
72,00:05:28.310,00:05:31.090,"['and', u'gener', 'use', u'variabl', 'length', u'encod']"
73,00:05:31.090,00:05:36.830,"['instead', u'fix', 'length', u'encod', 'use', 'default']"
74,00:05:36.830,00:05:41.080,"['program', u'manag', 'like', 'C']"
75,00:05:41.080,00:05:45.840,"['and', u'leverag', u'skew', u'distribut', u'valu']"
76,00:05:45.840,00:05:48.180,"[u'compress', u'valu']"
77,00:05:48.180,00:05:53.827,"['well', u'gener', 'use', u'bit', u'encod', 'frequent']"
78,00:05:53.827,00:06:00.650,"[u'word', 'cost', u'use', 'longer', 'bit', 'string', 'code', 'rare', u'valu']"
79,00:06:00.650,00:06:04.560,"['So', 'case', 'let', 'think', u'compress', 'TF', 'tone', u'frequenc']"
80,00:06:05.640,00:06:09.640,"['now', u'pictur', u'invert', 'index', 'look', 'like']"
81,00:06:09.640,00:06:13.807,"['see', 'post', u'thing', 'lot', 'tone', u'frequenc']"
82,00:06:13.807,00:06:19.089,"['those', u'frequenc', u'term', u'document']"
83,00:06:19.089,00:06:25.650,"['now', 'think', 'kind', u'valu', 'frequent']"
84,00:06:25.650,00:06:29.980,"['you', u'probabl', u'abl', u'guess', 'small', u'number', 'tend', 'occur']"
85,00:06:29.980,00:06:32.540,"['far', u'frequent', u'larg', u'number']"
86,00:06:32.540,00:06:33.990,[u'whi']
87,00:06:33.990,00:06:39.954,"['well', 'think', u'distribut', u'word', 'sip', u'slope']"
88,00:06:39.954,00:06:44.810,"[u'mani', u'word', 'occur', u'rare', 'see', 'lot', 'small', u'number']"
89,00:06:44.810,00:06:48.419,"[u'therefor', 'use', 'fewer', u'bit', 'small']"
90,00:06:48.419,00:06:53.855,"[u'highli', 'frequent', u'integ']"
91,00:06:53.855,00:06:57.095,"['cost', u'use', u'bit', 'larger', u'integ']"
92,00:06:58.445,00:07:00.005,"[u'thi', 'trade', u'cours']"
93,00:07:00.005,00:07:05.712,"['If', u'valu', u'distribut', 'uniform', 'save', 'us', 'space']"
94,00:07:05.712,00:07:10.824,"['tend', 'see', u'mani', 'small', u'valu', 'frequent']"
95,00:07:10.824,00:07:15.769,"['We', 'save', u'averag', 'even', 'though', u'sometim', 'see', u'larg', 'number']"
96,00:07:15.769,00:07:17.740,"['use', 'lot', u'bit']"
97,00:07:19.750,00:07:23.700,"['what', 'document', u'id', 'also', 'saw', u'post']"
98,00:07:23.700,00:07:27.240,"['well', u'distribut', u'skew', 'way']"
99,00:07:27.240,00:07:31.840,"['So', 'deal']"
100,00:07:31.840,00:07:35.488,"['well', u'turn', 'use', 'trick', u'call', 'gap']"
101,00:07:35.488,00:07:38.686,"['store', u'differ', 'term', u'id']"
102,00:07:38.686,00:07:43.495,"['and', u'imagin', 'term', u'match', u'mani', u'document']"
103,00:07:43.495,00:07:46.640,"['longest', 'document', u'id']"
104,00:07:46.640,00:07:52.030,"['So', 'take', 'gap', 'take', u'differ', u'adjac', 'document', u'id']"
105,00:07:52.030,00:07:54.340,"[u'gap', 'small']"
106,00:07:54.340,00:07:57.594,"['So', 'see', 'lot', 'small', u'number']"
107,00:07:57.594,00:08:00.217,"[u'wherea', 'term', u'occur', u'document']"
108,00:08:00.217,00:08:04.300,"['gap', 'would', u'larg', u'larg', u'number', 'would', 'frequent']"
109,00:08:04.300,00:08:06.610,"['So', u'creat', u'skew', u'distribut']"
110,00:08:06.610,00:08:10.669,"['would', 'allow', 'us', u'compress', u'valu']"
111,00:08:11.850,00:08:15.621,"[u'thi', 'also', u'possibl', 'order', u'uncov']"
112,00:08:15.621,00:08:21.249,"[u'uncompress', 'document', u'id', u'sequenti', u'process', 'data']"
113,00:08:21.249,00:08:25.484,"[u'becaus', u'store', u'differ', 'order', u'recov', 'exact']"
114,00:08:25.484,00:08:29.574,"['document', 'ID', 'first', u'recov', u'previou', 'document', 'ID']"
115,00:08:29.574,00:08:34.536,"['and', 'add', u'differ', u'previou', 'document', 'ID', u'restor']"
116,00:08:34.536,00:08:36.365,"['current', 'document', 'ID']"
117,00:08:36.365,00:08:40.834,"['now', u'possibl', u'need', u'sequenti', u'access']"
118,00:08:40.834,00:08:42.900,"['document', u'id']"
119,00:08:42.900,00:08:46.920,"[u'onc', 'look', 'term', 'look', 'document', u'id', 'match', 'term']"
120,00:08:46.920,00:08:48.670,"[u'sequenti', u'process']"
121,00:08:48.670,00:08:52.070,"['So', u'natur', 'trick', u'actual', u'work']"
122,00:08:53.600,00:08:55.760,"['and', u'mani', u'differ', u'method', u'encod']"
123,00:08:55.760,00:09:02.116,"['So', u'binari', 'code', u'commonli', u'use', 'code', 'program', u'languag']"
124,00:09:02.116,00:09:05.994,"['We', 'use', u'basic', u'fix', u'glanc', u'code']"
125,00:09:05.994,00:09:09.276,"[u'unari', 'code', 'gamma', 'code', 'delta', 'code', u'possibl']"
126,00:09:09.276,00:09:11.240,"[u'mani', u'possibl']"
127,00:09:11.240,00:09:14.130,"['So', 'let', 'look', 'detail']"
128,00:09:14.130,00:09:16.900,"[u'binari', u'code', u'realli', 'equal', 'length', u'code']"
129,00:09:16.900,00:09:20.930,"[u'properti', u'randomli', u'distribut', u'valu']"
130,00:09:20.930,00:09:24.700,"['the', u'unari', u'code', u'variabl', 'length', u'code', 'method']"
131,00:09:24.700,00:09:28.891,"['In', 'case', u'integ', '1']"
132,00:09:28.891,00:09:33.630,"[u'encod', 'x', '1', '1', 'bit', u'follow', '0']"
133,00:09:33.630,00:09:39.329,"['So', u'exampl', '3', u'encod', '2', '1s', u'follow', '0']"
134,00:09:39.329,00:09:45.042,"[u'wherea', '5', u'encod', '4', '1s', u'follow', '0', 'etc']"
135,00:09:45.042,00:09:51.599,"['So', u'imagin', u'mani', u'bit', 'use', u'larg', 'number', 'like', '100']"
136,00:09:51.599,00:09:57.450,"['So', u'mani', u'bit', 'use', u'exactli', 'number', 'like', '100']"
137,00:09:57.450,00:10:02.549,"['well', u'exactli', 'use', '100', u'bit']"
138,00:10:02.549,00:10:07.150,"['So', 'number', u'bit', u'valu', 'number']"
139,00:10:07.150,00:10:12.360,"['So', u'ineffici', u'like', 'see', u'larg', u'number']"
140,00:10:12.360,00:10:17.620,"[u'imagin', u'occasion', 'see', 'number', 'like', '1', '000', 'use', '1', '000', u'bit']"
141,00:10:17.620,00:10:22.894,"['So', u'work', 'well', u'absolut', 'sure']"
142,00:10:22.894,00:10:28.082,"[u'larg', u'number', u'mostli', 'often', 'see', 'small', u'number']"
143,00:10:28.082,00:10:30.184,"['now', u'decod', 'code']"
144,00:10:30.184,00:10:33.662,"['now', u'sinc', u'variabl', 'length', u'encod', u'method']"
145,00:10:33.662,00:10:37.070,"['count', u'mani', u'bit', 'stop']"
146,00:10:38.500,00:10:44.800,"['you', 'say', '8', u'bit', '32', u'bit', 'start', u'anoth', 'code']"
147,00:10:44.800,00:10:50.860,"['they', u'variabl', 'length', u'reli', u'mechan']"
148,00:10:50.860,00:10:55.192,"['In', 'case', u'unari', 'see', u'easi', 'see', u'boundari']"
149,00:10:55.192,00:10:59.161,"['now', u'easili', 'see', '0', 'would', 'signal', 'end', u'encod']"
150,00:10:59.161,00:11:03.120,"['So', 'count', u'mani', '1s', 'seen', 'end', 'hit', '0']"
151,00:11:03.120,00:11:06.560,"['you', u'finish', 'one', 'number', 'start', u'anoth', 'number']"
152,00:11:07.960,00:11:11.266,"['now', 'saw', u'unari', u'code', u'aggress']"
153,00:11:11.266,00:11:13.987,"['In', u'reward', 'small', u'number']"
154,00:11:13.987,00:11:20.430,"[u'occasion', 'see', 'big', 'number', 'would', u'disast']"
155,00:11:20.430,00:11:24.900,"['So', u'less', u'aggress', 'method']"
156,00:11:24.900,00:11:29.200,"['well', 'gamma', u'code', 'one']"
157,00:11:29.200,00:11:34.072,"['method', 'use', u'unari', u'code']"
158,00:11:34.072,00:11:37.239,"['transform', 'form']"
159,00:11:37.239,00:11:41.210,"['So', '1', u'plu', 'floor', 'log', 'x']"
160,00:11:41.210,00:11:47.781,"['So', u'magnitud', u'valu', 'much', 'lower', u'origin', 'x']"
161,00:11:47.781,00:11:52.703,"['So', 'afford', u'use', u'unari', 'code']"
162,00:11:52.703,00:11:58.728,"['and', 'first', 'I', u'unari', 'code', u'code', 'log', 'x']"
163,00:11:58.728,00:12:02.327,"['and', 'would', u'follow', 'uniform', 'code', u'binari', 'code']"
164,00:12:02.327,00:12:08.058,"['and', u'basic', 'uniform', 'code', u'binari', 'code']"
165,00:12:08.058,00:12:15.956,"['and', u'go', 'use', 'coder', 'code', u'remain', 'part', u'valu', 'x']"
166,00:12:15.956,00:12:22.178,"['and', u'basic', u'precis', 'x', '1', 'floor', 'log', 'x']"
167,00:12:25.000,00:12:30.376,"['So', u'unari', 'code', u'basic', u'call', 'flow', 'log', 'x']"
168,00:12:30.376,00:12:33.029,"['well', 'add', 'one']"
169,00:12:33.029,00:12:38.428,"['but', u'remain', 'part', u'use', 'uniform']"
170,00:12:38.428,00:12:43.413,"['code', u'actual', 'code', u'differ']"
171,00:12:43.413,00:12:47.990,"['x', '2', 'log', 'x']"
172,00:12:49.530,00:12:53.280,"['and', u'easi', 'show']"
173,00:12:55.790,00:13:00.297,"[u'differ', 'need', 'use']"
174,00:13:00.297,00:13:05.390,"[u'mani', u'bit', 'floor', 'log', 'x', u'bit']"
175,00:13:06.530,00:13:08.410,"['and', u'easi', 'understand']"
176,00:13:08.410,00:13:12.910,"[u'differ', u'larg', 'would', 'higher', 'floor', 'log', 'x']"
177,00:13:14.330,00:13:19.000,"['So', u'exampl', u'exampl', '3', u'encod', '101']"
178,00:13:19.000,00:13:22.575,"['the', 'first', 'two', u'digit', u'unari', 'code']"
179,00:13:22.575,00:13:26.706,"['So', u'valu', '2']"
180,00:13:26.706,00:13:30.990,"['10', u'encod', '2', u'unari', u'code']"
181,00:13:32.490,00:13:37.300,"['and', u'mean', 'floor']"
182,00:13:37.300,00:13:42.398,"['log', 'x', '1', u'actual', 'use', u'unari', u'code']"
183,00:13:42.398,00:13:45.620,"['In', 'code', '1', u'plu', 'flow', 'log', 'x']"
184,00:13:45.620,00:13:50.145,"[u'sinc', 'two', 'know', 'flow', 'log', 'x', u'actual', '1']"
185,00:13:52.000,00:13:55.720,"['So', '3', 'still', 'larger', '2', '1']"
186,00:13:55.720,00:14:00.040,"['So', u'differ', '1', '1', u'encod', 'end']"
187,00:14:01.460,00:14:04.690,"['So', '101', '3']"
188,00:14:04.690,00:14:11.554,"['now', u'similarli', '5', u'encod', '110', u'follow', '01']"
189,00:14:12.970,00:14:17.981,"['and', 'case', u'unari', 'code', 'code', '3']"
190,00:14:17.981,00:14:25.445,"['and', u'unari', 'code', '110', 'flow', 'log', 'x', '2']"
191,00:14:25.445,00:14:30.362,"['and', u'mean', u'go', u'comput', u'differ', '5']"
192,00:14:30.362,00:14:32.784,"['2', '2', '1']"
193,00:14:32.784,00:14:35.803,"['and', '1', 'end']"
194,00:14:35.803,00:14:39.226,"['but', 'time', u'go', 'use', '2', u'bit']"
195,00:14:39.226,00:14:43.570,"['level', 'flow', 'log', 'x']"
196,00:14:43.570,00:14:51.040,"['We', 'could', u'number', '5', '6', '7', 'would', 'share', 'prefix', '110']"
197,00:14:51.040,00:14:53.210,"['So', 'order', u'differenti']"
198,00:14:53.210,00:14:57.690,"['use', '2', u'bit', 'end', u'differenti']"
199,00:14:57.690,00:15:03.670,"['So', u'imagin', '6', 'would', '10', 'end', 'instead', '01', '10']"
200,00:15:04.710,00:15:10.615,"['It', 'also', 'true', 'form', 'gamma', 'code', u'alway', 'first']"
201,00:15:10.615,00:15:15.155,"['odd', 'number', u'bit', 'center', '0']"
202,00:15:15.155,00:15:17.305,"['that', 'end', u'unari', 'code']"
203,00:15:18.335,00:15:24.385,"['and', 'left', 'side', '0', '1s']"
204,00:15:24.385,00:15:30.265,"['and', 'right', 'side', '0', u'binari', u'code', 'uniform', u'code']"
205,00:15:32.550,00:15:36.540,"['So', u'decod', 'code']"
206,00:15:36.540,00:15:39.866,"['well', 'first', u'unari', u'code']"
207,00:15:39.866,00:15:45.371,"[u'onc', 'hit', '0', 'got', u'unari', 'code', 'also', 'tell']"
208,00:15:45.371,00:15:50.408,"[u'mani', u'bit', 'read', u'decod', 'uniform', 'code']"
209,00:15:50.408,00:15:53.693,"['So', u'decod', 'gamma', 'code']"
210,00:15:53.693,00:15:57.998,"['there', 'also', 'delta', 'code', u'basic', 'gamma', 'code', 'except']"
211,00:15:57.998,00:16:01.340,"[u'replac', u'unari', 'prefix', 'gamma', 'code']"
212,00:16:01.340,00:16:04.980,"['So', 'even', u'less', u'conserv', 'gamma', 'code']"
213,00:16:04.980,00:16:08.910,"[u'term', u'word', 'small', u'integ']"
214,00:16:08.910,00:16:12.150,"['So', u'mean', 'okay', u'occasion', 'see', u'larg', 'number']"
215,00:16:14.100,00:16:15.190,"['It', 'okay', 'delta', 'code']"
216,00:16:16.810,00:16:23.210,"['It', 'also', 'fine', 'gamma', 'code', u'realli', 'big', u'loss', u'unari', 'code']"
217,00:16:23.210,00:16:26.710,"['and', u'oper', u'cours']"
218,00:16:26.710,00:16:32.360,"[u'differ', u'degre', u'favor', 'short', u'favor', 'small', u'integ']"
219,00:16:32.360,00:16:38.560,"['and', 'also', u'mean', 'would', u'appropri', u'sort', u'distribut']"
220,00:16:38.560,00:16:41.720,"['but', 'none', 'perfect', u'distribut']"
221,00:16:41.720,00:16:45.990,"['and', 'method', u'work', 'best', 'would', 'depend', 'actual', u'distribut']"
222,00:16:45.990,00:16:47.610,['dataset']
223,00:16:47.610,00:16:49.660,"['for', u'invert', 'index', u'compress']"
224,00:16:49.660,00:16:52.990,"[u'peopl', 'found', 'gamma', u'code', u'seem', 'work', 'well']"
225,00:16:55.114,00:16:58.340,"['So', u'uncompress', u'invert', 'index']"
226,00:16:58.340,00:16:59.900,"['I', 'talk']"
227,00:16:59.900,00:17:02.920,"[u'firstli', u'decod', u'encod', u'integ']"
228,00:17:02.920,00:17:10.877,"['and', 'I', 'think', u'discuss', u'decod', u'unari', u'code', 'gamma', u'code']"
229,00:17:10.877,00:17:15.720,"['what', 'document', u'id', 'might', u'compress', u'use', 'gap']"
230,00:17:15.720,00:17:19.320,"['well', u'go', u'sequenti', u'decod']"
231,00:17:19.320,00:17:23.800,"[u'suppos', u'encod', 'I', 'list', 'x1', 'x2', 'x3', 'etc']"
232,00:17:23.800,00:17:28.384,"['We', 'first', u'decod', 'x1', 'obtain', 'first', 'document', 'ID', 'id1']"
233,00:17:28.384,00:17:29.845,"['then', u'decod', 'x2']"
234,00:17:29.845,00:17:34.610,"[u'actual', u'differ', 'second', 'ID', 'first', 'one']"
235,00:17:34.610,00:17:40.240,"['So', 'add', u'decod', u'valu', 'x2', 'id1', u'recov']"
236,00:17:40.240,00:17:45.630,"[u'valu', 'ID', u'secondari', u'posit']"
237,00:17:46.690,00:17:50.420,"['So', 'see', u'advantag']"
238,00:17:50.420,00:17:52.870,"[u'convert', 'document', u'id', u'integ']"
239,00:17:52.870,00:17:55.730,"['and', u'allow', 'us', 'kind', u'compress']"
240,00:17:55.730,00:17:59.590,"['and', 'repeat', u'decod', u'document']"
241,00:17:59.590,00:18:04.004,"[u'everi', 'time', 'use', 'document', 'ID', u'previou', u'posit', 'help', u'recov']"
242,00:18:04.004,00:18:06.257,"['document', 'ID', 'next', u'posit']"
